x,y,z,U_0,U_1,U_2
-2.46817,-2.72516,8.65892e-18,3,2.05018e-16,0
-2.46817,-2.54642,1.00467e-17,3,1.41956e-16,0
-2.46817,-2.37476,9.00586e-18,3,-1.06229e-17,0
-2.46817,-2.20992,9.35281e-18,3,1.73328e-17,0
-2.46817,-2.05161,9.35281e-18,3,-1.62314e-16,0
-2.46817,-1.89959,7.96503e-18,3,-1.49903e-16,0
-2.46817,-1.75359,6.43317e-18,3,-6.56224e-17,0
-2.46817,-1.61339,4.78519e-18,3,-1.10955e-16,0
-2.46817,-1.47875,1.14227e-18,3,-1.08749e-16,0
-2.46817,-1.34946,2.26984e-18,3,2.44148e-17,0
-2.46817,-1.22529,4.69845e-18,3,1.37711e-17,0
-2.46817,-1.10605,7.04033e-18,3,-1.75964e-16,0
-2.46817,-0.991539,1.00761e-17,3,-1.46696e-16,0
-2.46817,-0.881573,1.077e-17,3,1.33176e-16,0
-2.46817,-0.775969,1.077e-17,3,4.35899e-17,0
-2.46817,-0.674554,1.2071e-17,3,6.72029e-17,0
-2.46817,-0.577164,1.29384e-17,3,-2.72152e-17,0
-2.46817,-0.483637,1.12037e-17,3,-8.76979e-17,0
-2.46817,-0.393821,1.12037e-17,3,-9.90197e-17,0
-2.46817,-0.307568,1.12037e-17,3,-6.42038e-17,0
-2.46817,-0.224738,7.56075e-18,3,1.76127e-16,0
-2.46817,-0.145193,8.94852e-18,3,1.98812e-16,0
-2.46817,-0.0688046,1.13771e-17,3,3.30742e-16,0
-2.46817,0.00455329,1.14492e-17,3,3.82642e-16,0
-2.46817,0.0750007,2.87699e-18,3,3.05894e-16,0
-2.46817,0.142653,5.56581e-18,3,-1.22095e-16,0
-2.46817,0.207622,6.2597e-18,3,-3.96195e-16,0
-2.46817,0.270013,4.95866e-18,3,-4.02604e-16,0
-2.46817,0.329928,3.65762e-18,3,-3.66689e-16,0
-2.46817,0.387466,4.35151e-18,3,-2.42832e-16,0
-2.46817,0.442722,5.73929e-18,3,-1.67207e-16,0
-2.46817,0.495785,6.43317e-18,3,-2.6801e-16,0
-2.46817,0.546744,5.13213e-18,3,7.72513e-17,0
-2.46817,0.59568,2.79026e-18,3,3.4248e-16,0
-2.46817,0.642675,2.44331e-18,3,4.97285e-16,0
-2.46817,0.687805,3.1372e-18,3,4.83624e-16,0
-2.46817,0.731145,3.83109e-18,3,2.75953e-16,0
