x,y,z,U_0,U_1,U_2
-2.46817,-2.72516,8.65892e-18,3,1.95919e-16,0
-2.46817,-2.54642,1.00467e-17,3,1.3398e-16,0
-2.46817,-2.37476,9.00586e-18,3,-1.02015e-17,0
-2.46817,-2.20992,9.35281e-18,3,1.82125e-17,0
-2.46817,-2.05161,9.35281e-18,3,-1.62314e-16,0
-2.46817,-1.89959,7.96503e-18,3,-1.49988e-16,0
-2.46817,-1.75359,6.43317e-18,3,-6.56224e-17,0
-2.46817,-1.61339,4.78519e-18,3,-1.10179e-16,0
-2.46817,-1.47875,1.14227e-18,3,-1.07532e-16,0
-2.46817,-1.34946,2.26984e-18,3,2.49106e-17,0
-2.46817,-1.22529,4.69845e-18,3,1.37711e-17,0
-2.46817,-1.10605,7.04033e-18,3,-1.75962e-16,0
-2.46817,-0.991539,1.00761e-17,3,-1.46028e-16,0
-2.46817,-0.881573,1.077e-17,3,1.33139e-16,0
-2.46817,-0.775969,1.077e-17,3,4.33707e-17,0
-2.46817,-0.674554,1.2071e-17,3,6.54405e-17,0
-2.46817,-0.577164,1.29384e-17,3,-1.72198e-17,0
-2.46817,-0.483637,1.12037e-17,3,-1.01244e-16,0
-2.46817,-0.393821,1.12037e-17,3,-1.12146e-16,0
-2.46817,-0.307568,1.12037e-17,3,-7.09807e-17,0
-2.46817,-0.224738,7.56075e-18,3,1.7548e-16,0
-2.46817,-0.145193,8.94852e-18,3,1.98812e-16,0
-2.46817,-0.0688046,1.13771e-17,3,3.30746e-16,0
-2.46817,0.00455329,1.14492e-17,3,3.82642e-16,0
-2.46817,0.0750007,2.87699e-18,3,3.05894e-16,0
-2.46817,0.142653,5.56581e-18,3,-1.22006e-16,0
-2.46817,0.207622,6.2597e-18,3,-3.98928e-16,0
-2.46817,0.270013,4.95866e-18,3,-4.05437e-16,0
-2.46817,0.329928,3.65762e-18,3,-3.6227e-16,0
-2.46817,0.387466,4.35151e-18,3,-2.37025e-16,0
-2.46817,0.442722,5.73929e-18,3,-1.65149e-16,0
-2.46817,0.495785,6.43317e-18,3,-2.58799e-16,0
-2.46817,0.546744,5.13213e-18,3,7.20912e-17,0
