x,y,z,U_0,U_1,U_2
-1.79315,-3,-2.58325e-21,3,1.66632e-15,0
-1.79315,-2.99399,7.57182e-19,3,1.66632e-15,0
-1.79315,-2.98799,1.51695e-18,3,1.66632e-15,0
-1.79315,-2.98198,-1.53968e-18,3,1.66632e-15,0
-1.79315,-2.97598,7.37969e-19,3,1.66632e-15,0
-1.79315,-2.96997,4.0269e-19,3,1.66632e-15,0
-1.79315,-2.96396,-9.71115e-19,3,1.66632e-15,0
-1.79315,-2.95796,-1.73088e-18,3,1.66632e-15,0
-1.79315,-2.95195,-2.49065e-18,3,1.66632e-15,0
-1.79315,-2.94595,-3.25041e-18,3,1.66632e-15,0
-1.79315,-2.93994,-2.27545e-18,3,1.66632e-15,0
-1.79315,-2.93393,-3.03522e-18,3,1.66632e-15,0
-1.79315,-2.92793,-3.79498e-18,3,1.66632e-15,0
-1.79315,-2.92192,-2.82003e-18,3,1.66632e-15,0
-1.79315,-2.91592,-3.57979e-18,3,1.66632e-15,0
-1.79315,-2.90991,-2.60483e-18,3,1.66632e-15,0
-1.79315,-2.9039,-5.09932e-18,3,1.66632e-15,0
-1.79315,-2.8979,-4.12436e-18,3,1.66632e-15,0
-1.79315,-2.89189,-4.01677e-18,3,1.66632e-15,0
-1.79315,-2.88589,-4.77653e-18,3,1.66632e-15,0
-1.79315,-2.87988,-4.23525e-18,3,1.66632e-15,0
-1.79315,-2.87387,-4.56134e-18,3,1.66632e-15,0
-1.79315,-2.86787,-4.28027e-18,3,1.66632e-15,0
-1.79315,-2.86186,2.31501e-19,3,1.66632e-15,0
-1.79315,-2.85586,-1.85015e-18,3,1.66632e-15,0
-1.79315,-2.84985,-3.93179e-18,3,1.66632e-15,0
-1.79315,-2.84384,-2.54399e-18,3,1.66632e-15,0
-1.79315,-2.83784,-5.59547e-18,3,-4.09835e-16,0
-1.79315,-2.83183,-2.19709e-18,3,-4.09835e-16,0
-1.79315,-2.82583,-4.34983e-18,3,-4.09835e-16,0
-1.79315,-2.81982,-4.36309e-19,3,-4.09835e-16,0
-1.79315,-2.81381,-1.75295e-18,3,-4.09835e-16,0
-1.79315,-2.80781,3.99851e-19,3,-4.09835e-16,0
-1.79315,-2.8018,2.55265e-18,3,-4.09835e-16,0
-1.79315,-2.7958,1.23601e-18,3,-4.09835e-16,0
-1.79315,-2.78979,1.65409e-18,3,-4.09835e-16,0
-1.79315,-2.78378,3.37449e-19,3,-4.09835e-16,0
-1.79315,-2.77778,-9.79195e-19,3,-4.09835e-16,0
-1.79315,-2.77177,-5.61115e-19,3,-4.09835e-16,0
-1.79315,-2.76577,-1.43034e-19,3,-4.09835e-16,0
-1.79315,-2.75976,2.75046e-19,3,-4.09835e-16,0
-1.79315,-2.75375,6.93126e-19,3,-4.09835e-16,0
-1.79315,-2.74775,-6.23517e-19,3,-4.09835e-16,0
-1.79315,-2.74174,1.52929e-18,3,-4.09835e-16,0
-1.79315,-2.73574,-1.34301e-19,3,-4.09835e-16,0
-1.79315,-2.72973,-1.58105e-18,3,-4.09835e-16,0
-1.79315,-2.72372,-4.4028e-18,3,-4.09835e-16,0
-1.79315,-2.71772,-3.08616e-18,3,-4.09835e-16,0
-1.79315,-2.71171,-5.23896e-18,3,-4.09835e-16,0
-1.79315,-2.70571,-3.92232e-18,3,-4.09835e-16,0
-1.79315,-2.6997,-1.56484e-18,3,-4.09835e-16,0
-1.79315,-2.69369,-1.98292e-18,3,-4.09835e-16,0
-1.79315,-2.68769,-1.70712e-18,3,-4.09835e-16,0
-1.79315,-2.68168,-1.08436e-18,3,-4.09835e-16,0
-1.79315,-2.67568,-4.278e-18,3,-4.09835e-16,0
-1.79315,-2.66967,-3.3083e-18,3,-4.09835e-16,0
-1.79315,-2.66366,-3.37944e-18,3,-4.09835e-16,0
-1.79315,-2.65766,-3.2771e-18,3,-4.09835e-16,0
-1.79315,-2.65165,-3.34823e-18,3,-4.09835e-16,0
-1.79315,-2.64565,-3.93979e-18,3,-4.09835e-16,0
-1.79315,-2.63964,-3.40377e-18,3,-4.09835e-16,0
-1.79315,-2.63363,-5.25875e-19,3,-4.09835e-16,0
-1.79315,-2.62763,-2.348e-18,3,-4.09835e-16,0
-1.79315,-2.62162,-1.85015e-18,3,-4.09835e-16,0
-1.79315,-2.61562,-2.54402e-18,3,-4.09835e-16,0
-1.79315,-2.60961,-4.62325e-19,3,-4.09835e-16,0
-1.79315,-2.6036,-4.20937e-18,3,-2.23453e-16,0
-1.79315,-2.5976,-5.67389e-18,3,-2.23453e-16,0
-1.79315,-2.59159,-7.13841e-18,3,-2.23453e-16,0
-1.79315,-2.58559,-7.35648e-18,3,-2.23453e-16,0
-1.79315,-2.57958,-5.198e-18,3,-2.23453e-16,0
-1.79315,-2.57357,-3.03952e-18,3,-2.23453e-16,0
-1.79315,-2.56757,-4.35048e-18,3,-2.23453e-16,0
-1.79315,-2.56156,-3.92672e-18,3,-2.23453e-16,0
-1.79315,-2.55556,-3.50296e-18,3,-2.23453e-16,0
-1.79315,-2.54955,-4.81392e-18,3,-2.23453e-16,0
-1.79315,-2.54354,-4.39016e-18,3,-2.23453e-16,0
-1.79315,-2.53754,-3.9664e-18,3,-2.23453e-16,0
-1.79315,-2.53153,-2.67528e-18,3,-2.23453e-16,0
-1.79315,-2.52553,-2.94541e-18,3,-2.23453e-16,0
-1.79315,-2.51952,-4.95027e-18,3,-2.23453e-16,0
-1.79315,-2.51351,-5.4806e-18,3,-2.23453e-16,0
-1.79315,-2.50751,-5.40379e-18,3,-2.23453e-16,0
-1.79315,-2.5015,-7.34359e-18,3,-2.23453e-16,0
-1.79315,-2.4955,-7.21114e-18,3,-2.23453e-16,0
-1.79315,-2.48949,-9.36962e-18,3,-2.23453e-16,0
-1.79315,-2.48348,-8.75255e-18,3,-2.23453e-16,0
-1.79315,-2.47748,-1.0911e-17,3,-2.23453e-16,0
-1.79315,-2.47147,-9.60007e-18,3,-2.23453e-16,0
-1.79315,-2.46547,-1.00238e-17,3,-2.23453e-16,0
-1.79315,-2.45946,-8.71286e-18,3,-2.23453e-16,0
-1.79315,-2.45345,-9.13662e-18,3,-2.23453e-16,0
-1.79315,-2.44745,-9.56038e-18,3,-2.23453e-16,0
-1.79315,-2.44144,-9.11678e-18,3,-2.23453e-16,0
-1.79315,-2.43544,-9.54054e-18,3,-2.23453e-16,0
-1.79315,-2.42943,-8.40305e-18,3,-2.23453e-16,0
-1.79315,-2.42342,-7.69924e-18,3,-2.23453e-16,0
-1.79315,-2.41742,-6.99543e-18,3,-2.23453e-16,0
-1.79315,-2.41141,-6.68193e-18,3,-2.23453e-16,0
-1.79315,-2.40541,-6.70738e-18,3,-2.23453e-16,0
-1.79315,-2.3994,-2.54402e-18,3,-2.23453e-16,0
-1.79315,-2.39339,-1.15622e-18,3,-2.23453e-16,0
-1.79315,-2.38739,-7.32093e-19,3,9.55839e-16,0
-1.79315,-2.38138,-1.2107e-19,3,9.55839e-16,0
-1.79315,-2.37538,4.89952e-19,3,9.55839e-16,0
-1.79315,-2.36937,-2.4887e-18,3,9.55839e-16,0
-1.79315,-2.36336,-3.79353e-18,3,9.55839e-16,0
-1.79315,-2.35736,-1.62891e-18,3,9.55839e-16,0
-1.79315,-2.35135,-1.19902e-18,3,9.55839e-16,0
-1.79315,-2.34535,-7.69128e-19,3,9.55839e-16,0
-1.79315,-2.33934,-3.39236e-19,3,9.55839e-16,0
-1.79315,-2.33333,9.0657e-20,3,9.55839e-16,0
-1.79315,-2.32733,-1.21417e-18,3,9.55839e-16,0
-1.79315,-2.32132,-7.84281e-19,3,9.55839e-16,0
-1.79315,-2.31532,5.12973e-19,3,9.55839e-16,0
-1.79315,-2.30931,-1.48575e-18,3,9.55839e-16,0
-1.79315,-2.3033,-4.48701e-19,3,9.55839e-16,0
-1.79315,-2.2973,-2.44742e-18,3,9.55839e-16,0
-1.79315,-2.29129,-4.21846e-18,3,9.55839e-16,0
-1.79315,-2.28529,-3.7613e-18,3,9.55839e-16,0
-1.79315,-2.27928,-2.45647e-18,3,9.55839e-16,0
-1.79315,-2.27327,-4.62108e-18,3,9.55839e-16,0
-1.79315,-2.26727,-5.05098e-18,3,9.55839e-16,0
-1.79315,-2.26126,-5.48087e-18,3,9.55839e-16,0
-1.79315,-2.25526,-5.91076e-18,3,9.55839e-16,0
-1.79315,-2.24925,-6.34065e-18,3,9.55839e-16,0
-1.79315,-2.24324,-5.03582e-18,3,9.55839e-16,0
-1.79315,-2.23724,-5.46571e-18,3,9.55839e-16,0
-1.79315,-2.23123,-5.89561e-18,3,9.55839e-16,0
-1.79315,-2.22523,-4.76425e-18,3,9.55839e-16,0
-1.79315,-2.21922,-4.50025e-18,3,9.55839e-16,0
-1.79315,-2.21321,-3.80257e-18,3,9.55839e-16,0
-1.79315,-2.20721,-3.16995e-18,3,9.55839e-16,0
-1.79315,-2.2012,-1.85015e-18,3,9.55839e-16,0
-1.79315,-2.1952,-3.2379e-18,3,9.55839e-16,0
