x,y,z,U_0,U_1,U_2
-1.73867,-3,-1.19865e-19,3,1.97349e-15,0
-1.73867,-2.99399,1.15254e-18,3,1.97349e-15,0
-1.73867,-2.98799,-1.04451e-18,3,1.97349e-15,0
-1.73867,-2.98198,-3.24155e-18,3,1.97349e-15,0
-1.73867,-2.97598,-1.27526e-18,3,1.97349e-15,0
-1.73867,-2.96997,-1.91105e-18,3,1.97349e-15,0
-1.73867,-2.96396,-8.1212e-19,3,1.97349e-15,0
-1.73867,-2.95796,-1.44791e-18,3,1.97349e-15,0
-1.73867,-2.95195,-1.38982e-18,3,1.97349e-15,0
-1.73867,-2.94595,6.66259e-19,3,-4.20155e-16,0
-1.73867,-2.93994,1.36011e-18,3,-4.20155e-16,0
-1.73867,-2.93393,1.01313e-18,3,-4.20155e-16,0
-1.73867,-2.92793,4.48253e-18,3,-4.20155e-16,0
-1.73867,-2.92192,4.4825e-18,3,-4.20155e-16,0
-1.73867,-2.91592,7.9519e-18,3,-4.20155e-16,0
-1.73867,-2.90991,7.95187e-18,3,-4.20155e-16,0
-1.73867,-2.9039,1.14213e-17,3,-4.20155e-16,0
-1.73867,-2.8979,1.14212e-17,3,-4.20155e-16,0
-1.73867,-2.89189,1.21151e-17,3,-4.20155e-16,0
-1.73867,-2.88589,1.38498e-17,3,-4.20155e-16,0
-1.73867,-2.87988,1.38497e-17,3,-4.20155e-16,0
-1.73867,-2.87387,1.41967e-17,3,-4.20155e-16,0
-1.73867,-2.86787,1.59314e-17,3,-4.20155e-16,0
-1.73867,-2.86186,1.59314e-17,3,-4.20155e-16,0
-1.73867,-2.85586,1.59314e-17,3,-4.20155e-16,0
-1.73867,-2.84985,1.76661e-17,3,-4.20155e-16,0
-1.73867,-2.84384,1.55845e-17,3,-4.20155e-16,0
-1.73867,-2.83784,1.73192e-17,3,-4.20155e-16,0
-1.73867,-2.83183,1.55845e-17,3,-4.20155e-16,0
-1.73867,-2.82583,1.45436e-17,3,-4.20155e-16,0
-1.73867,-2.81982,1.45436e-17,3,-4.20155e-16,0
-1.73867,-2.81381,1.46161e-17,3,-4.20155e-16,0
-1.73867,-2.80781,1.39631e-17,3,-4.20155e-16,0
-1.73867,-2.8018,1.33319e-17,3,-4.20155e-16,0
-1.73867,-2.7958,1.23537e-17,3,-4.20155e-16,0
-1.73867,-2.78979,1.38042e-17,3,-4.20155e-16,0
-1.73867,-2.78378,1.36934e-17,3,-4.20155e-16,0
-1.73867,-2.77778,1.42764e-17,3,-4.20155e-16,0
-1.73867,-2.77177,1.57269e-17,3,-4.20155e-16,0
-1.73867,-2.76577,1.44018e-17,3,-4.20155e-16,0
-1.73867,-2.75976,1.41175e-17,3,-4.20155e-16,0
-1.73867,-2.75375,1.5221e-17,3,-4.20155e-16,0
-1.73867,-2.74775,1.60273e-17,3,-4.20155e-16,0
-1.73867,-2.74174,1.59816e-17,3,-4.20155e-16,0
-1.73867,-2.73574,1.59576e-17,3,-4.20155e-16,0
-1.73867,-2.72973,1.8102e-17,3,-4.20155e-16,0
-1.73867,-2.72372,1.71239e-17,3,-4.20155e-16,0
-1.73867,-2.71772,1.73601e-17,3,-4.20155e-16,0
-1.73867,-2.71171,1.81168e-17,3,-4.20155e-16,0
-1.73867,-2.70571,1.71387e-17,3,-4.20155e-16,0
-1.73867,-2.6997,1.78953e-17,3,-4.20155e-16,0
-1.73867,-2.69369,1.72641e-17,3,-4.20155e-16,0
-1.73867,-2.68769,1.6633e-17,3,-4.20155e-16,0
-1.73867,-2.68168,1.90543e-17,3,-1.55886e-15,0
-1.73867,-2.67568,2.1136e-17,3,-1.55886e-15,0
-1.73867,-2.66967,2.14829e-17,3,-1.55886e-15,0
-1.73867,-2.66366,2.35645e-17,3,-1.55886e-15,0
-1.73867,-2.65766,2.39114e-17,3,-1.55886e-15,0
-1.73867,-2.65165,2.5993e-17,3,-1.55886e-15,0
-1.73867,-2.64565,2.63399e-17,3,-1.55886e-15,0
-1.73867,-2.63964,2.66868e-17,3,-1.55886e-15,0
-1.73867,-2.63363,2.77276e-17,3,-1.55886e-15,0
-1.73867,-2.62763,2.59929e-17,3,-1.55886e-15,0
-1.73867,-2.62162,2.80745e-17,3,-1.55886e-15,0
-1.73867,-2.61562,2.73806e-17,3,-1.55886e-15,0
-1.73867,-2.60961,2.73806e-17,3,-1.55886e-15,0
-1.73867,-2.6036,2.91153e-17,3,-1.55886e-15,0
-1.73867,-2.5976,2.91153e-17,3,-1.55886e-15,0
-1.73867,-2.59159,2.91153e-17,3,-1.55886e-15,0
-1.73867,-2.58559,3.085e-17,3,-1.55886e-15,0
-1.73867,-2.57958,2.91153e-17,3,-1.55886e-15,0
-1.73867,-2.57357,2.91153e-17,3,-1.55886e-15,0
-1.73867,-2.56757,2.91153e-17,3,-1.55886e-15,0
-1.73867,-2.56156,2.73806e-17,3,-1.55886e-15,0
-1.73867,-2.55556,2.73289e-17,3,-1.55886e-15,0
-1.73867,-2.54955,2.85674e-17,3,-1.55886e-15,0
-1.73867,-2.54354,2.66402e-17,3,-1.55886e-15,0
-1.73867,-2.53754,2.71415e-17,3,-1.55886e-15,0
-1.73867,-2.53153,2.84235e-17,3,-1.55886e-15,0
-1.73867,-2.52553,2.72768e-17,3,-1.55886e-15,0
-1.73867,-2.51952,2.7518e-17,3,-1.55886e-15,0
-1.73867,-2.51351,2.72387e-17,3,-1.55886e-15,0
-1.73867,-2.50751,2.73063e-17,3,-1.55886e-15,0
-1.73867,-2.5015,2.87618e-17,3,-1.55886e-15,0
-1.73867,-2.4955,2.95515e-17,3,-1.55886e-15,0
-1.73867,-2.48949,2.98794e-17,3,-1.55886e-15,0
-1.73867,-2.48348,2.84726e-17,3,-1.55886e-15,0
-1.73867,-2.47748,2.90608e-17,3,-1.55886e-15,0
-1.73867,-2.47147,2.80877e-17,3,-1.55886e-15,0
-1.73867,-2.46547,2.78085e-17,3,-1.55886e-15,0
-1.73867,-2.45946,3.03049e-17,3,-1.55886e-15,0
-1.73867,-2.45345,2.72501e-17,3,-1.55886e-15,0
-1.73867,-2.44745,2.97465e-17,3,-1.55886e-15,0
-1.73867,-2.44144,2.94673e-17,3,-1.55886e-15,0
-1.73867,-2.43544,2.94627e-17,3,2.4185e-16,0
-1.73867,-2.42943,3.05035e-17,3,2.4185e-16,0
-1.73867,-2.42342,3.15443e-17,3,2.4185e-16,0
-1.73867,-2.41742,3.2585e-17,3,2.4185e-16,0
-1.73867,-2.41141,3.36258e-17,3,2.4185e-16,0
-1.73867,-2.40541,3.46666e-17,3,2.4185e-16,0
-1.73867,-2.3994,3.57074e-17,3,2.4185e-16,0
-1.73867,-2.39339,3.84829e-17,3,2.4185e-16,0
-1.73867,-2.38739,3.7789e-17,3,2.4185e-16,0
-1.73867,-2.38138,3.88298e-17,3,2.4185e-16,0
-1.73867,-2.37538,3.95236e-17,3,2.4185e-16,0
-1.73867,-2.36937,4.12584e-17,3,2.4185e-16,0
-1.73867,-2.36336,4.12584e-17,3,2.4185e-16,0
-1.73867,-2.35736,4.12584e-17,3,2.4185e-16,0
-1.73867,-2.35135,4.12584e-17,3,2.4185e-16,0
-1.73867,-2.34535,4.12584e-17,3,2.4185e-16,0
-1.73867,-2.33934,4.12584e-17,3,2.4185e-16,0
-1.73867,-2.33333,4.12584e-17,3,2.4185e-16,0
-1.73867,-2.32733,4.02175e-17,3,2.4185e-16,0
-1.73867,-2.32132,4.0526e-17,3,2.4185e-16,0
-1.73867,-2.31532,4.0122e-17,3,2.4185e-16,0
-1.73867,-2.30931,3.98915e-17,3,2.4185e-16,0
